order,seasonal_order,AIC,BIC,HQIC
"(1, 1, 0)","(0, 1, 0, 6)",11160.186,11173.098,11164.7255
"(0, 1, 1)","(0, 1, 0, 6)",11172.2953,11185.2068,11176.8347
"(0, 1, 0)","(0, 1, 0, 6)",11316.9839,11323.4398,11319.2536
