order,seasonal_order,AIC,BIC,HQIC
"(0, 1, 0)","(0, 1, 0, 12)",569.6879,573.0206,571.0356
"(0, 1, 1)","(0, 1, 0, 12)",569.7976,576.4534,572.4894
"(1, 1, 0)","(0, 1, 0, 12)",571.6843,578.3497,574.3797
