Model,MSE,RMSE,MAE,MAPE%,R2
"SARIMA(0, 1, 0)x(0, 1, 0, 12)",1.9245390387143555,1.3872775636888082,1.0999331797421004,21.80225165500022,0.3508508761361756
"SARIMA(1, 1, 0)x(0, 1, 0, 12)",1.9258684245532933,1.3877566157483427,1.1005365954849087,21.81579472393032,0.35040247283789805
"SARIMA(0, 1, 1)x(0, 1, 0, 12)",1.9267781506407897,1.3880843456507928,1.1009500926523472,21.82508855958797,0.3500956212330333
