Model,MSE,RMSE,MAE,MAPE%,R2
"ARIMA(0, 1, 1)",46.681091900402194,6.832356248059829,6.343094269943596,10.493615884471623,-6.2415922044920515
"Aggregated (ARIMA(0, 1, 1)+ARIMA(0, 1, 0))",49.897603657949716,7.063823586270379,6.591764306688977,10.898314767145951,-6.740566532659224
"ARIMA(0, 1, 0)",53.23778898984695,7.296423027062435,6.840434343434343,11.303013649820254,-7.2587262216535
"ARIMA(1, 1, 0)",54.675755072127274,7.394305584172679,6.940516312307951,11.466655865244787,-7.481796495887499
