Model,MSE,RMSE,MAE,MAPE%,R2
"SARIMA(0, 1, 0)x(0, 1, 0, 12)",1.0856000000000001,1.0419213022104885,0.9160000000000001,22.418218438158018,-3.698265415642421
"Aggregated (SARIMA(0, 1, 0)x(0, 1, 0, 12)+SARIMA(1, 1, 0)x(0, 1, 0, 12))",1.0856000000001982,1.0419213022105835,0.9160000000001091,22.41821843816088,-3.698265415643279
"SARIMA(1, 1, 0)x(0, 1, 0, 12)",1.0856000000003956,1.0419213022106784,0.9160000000002174,22.418218438163727,-3.6982654156441326
"SARIMA(0, 1, 1)x(0, 1, 0, 12)",1.0857291746096394,1.0419832890260954,0.9160705074445111,22.420067689633502,-3.698824458200497
