Model,MSE,RMSE,MAE,MAPE%,R2
"SARIMA(0, 1, 0)x(0, 1, 0, 12)",0.14162836721629918,0.376335445070351,0.31048172046443884,9.339144826848178,0.44942717402747023
"Aggregated (SARIMA(0, 1, 0)x(0, 1, 0, 12)+SARIMA(0, 1, 1)x(0, 1, 0, 12))",0.1418920317236845,0.3766855873585881,0.31190656805614775,9.385863634172518,0.44840219212735355
"SARIMA(0, 1, 1)x(0, 1, 0, 12)",0.14216697506806764,0.37705036144800025,0.3133314156478568,9.432582441496866,0.44733336434182824
"SARIMA(1, 1, 0)x(0, 1, 0, 12)",0.1421673294929941,0.3770508314445071,0.31334199555217246,9.432918753648725,0.4473319865335741
