order,seasonal_order,AIC,BIC,HQIC
"(0, 1, 1)","(0, 1, 0, 9)",21081.5024,21094.4126,21086.0415
"(1, 1, 0)","(0, 1, 0, 9)",21095.8083,21108.719,21100.3475
"(0, 1, 0)","(0, 1, 0, 9)",21241.3442,21247.7995,21243.6138
