Model,MSE,RMSE,MAE,MAPE%,R2
"SARIMA(0, 1, 1)x(0, 1, 0, 9)",1.525126517586454,1.2349601279338753,1.1087030790912649,1.6812445135697667,-2.166159813630291
"SARIMA(1, 1, 0)x(0, 1, 0, 9)",1.663613190956259,1.2898113005227776,1.1693806932229678,1.7733766237439563,-2.453657889947731
"SARIMA(0, 1, 0)x(0, 1, 0, 9)",1.6741799999984697,1.2939010781348277,1.1739999999993471,1.7803884631460356,-2.4755945658640983
