order,seasonal_order,AIC,BIC,HQIC
"(0, 1, 1)","(0, 1, 0, 45)",14287.7786,14301.447,14292.4931
"(1, 1, 0)","(0, 1, 0, 45)",14292.3181,14305.9868,14297.0327
"(0, 1, 0)","(0, 1, 0, 45)",14326.1013,14332.9356,14328.4586
