order,seasonal_order,AIC,BIC,HQIC
"(0, 1, 1)","(0, 1, 0, 9)",31448.2461,31461.925,31452.963
"(1, 1, 0)","(0, 1, 0, 9)",31454.5276,31468.2067,31459.2445
"(0, 1, 0)","(0, 1, 0, 9)",31580.8897,31587.7293,31583.2482
