Model,MSE,RMSE,MAE,MAPE%,R2
"SARIMA(1, 1, 0)x(0, 1, 0, 12)",1.463925318017101,1.2099278152092798,1.0812132560976706,1.8681235471963444,-1.9554187824367766
"Aggregated (SARIMA(1, 1, 0)x(0, 1, 0, 12)+SARIMA(0, 1, 0)x(0, 1, 0, 12))",1.4686575087645657,1.2118818047831916,1.0826066280488333,1.8705108650419293,-1.9649722789471546
"SARIMA(0, 1, 0)x(0, 1, 0, 12)",1.4733999999999878,1.213836891843376,1.083999999999996,1.8728981828875144,-1.9745465704087528
"SARIMA(0, 1, 1)x(0, 1, 0, 12)",1.4897470721921422,1.220551953909436,1.088715819686179,1.8809786611771213,-2.0075485573270355
