order,seasonal_order,AIC,BIC,HQIC
"(0, 1, 1)","(0, 2, 0, 6)",1104.1933,1110.0038,1106.5545
"(1, 1, 0)","(0, 2, 0, 6)",1112.2373,1118.0626,1114.6046
"(0, 1, 0)","(0, 2, 0, 6)",1117.7659,1120.6786,1118.9496
