Model,MSE,RMSE,MAE,MAPE%,R2
"ARIMA(0, 1, 0)",0.29297953363394635,0.5412758387679487,0.44740215053763466,12.255896405938541,-0.1389425222886551
"Aggregated (ARIMA(0, 1, 0)+ARIMA(1, 1, 0))",0.29391436443337193,0.5421386948312875,0.4468960367846087,12.230717995865389,-0.14257662783659142
"ARIMA(1, 1, 0)",0.2948615504682728,0.5430115564776433,0.4463899230315829,12.205539585792247,-0.14625876371238422
"ARIMA(0, 1, 1)",0.29501562800636155,0.5431534111154616,0.4463400747495726,12.202684440589078,-0.14685773203512742
