Model,MSE,RMSE,MAE,MAPE%,R2
"ARIMA(0, 1, 1)",1.5400595982046021,1.240991377167707,1.1550426824168027,1.6092169235136713,-6.478340835039087
"Aggregated (ARIMA(0, 1, 1)+ARIMA(1, 1, 0))",1.5477891944533337,1.2441017620971901,1.1581829620712512,1.6135983498986892,-6.5158748079662665
"ARIMA(1, 1, 0)",1.5555442543846738,1.247214598368971,1.1613232417256882,1.6179797762836914,-6.553532429418272
"ARIMA(0, 1, 0)",1.6992200000000124,1.3035413303766061,1.2220000000000055,1.7027338497311215,-7.251204257633539
