Model,MSE,RMSE,MAE,MAPE%,R2
"SARIMA(0, 1, 0)x(0, 1, 0, 12)",14.556415040486902,3.815287019411109,3.1655647907647877,5.091172899082203,-1.2581224515365848
"Aggregated (SARIMA(0, 1, 0)x(0, 1, 0, 12)+SARIMA(1, 1, 0)x(0, 1, 0, 12))",17.677925427769,4.204512507743199,3.6218719908953063,5.837650323499403,-1.7423593098991081
"SARIMA(1, 1, 0)x(0, 1, 0, 12)",21.225108971499246,4.607071626478065,4.078179191025823,6.584127747916605,-2.292630429370462
"SARIMA(0, 1, 1)x(0, 1, 0, 12)",21.606803777566746,4.6483119277396545,4.131729562980806,6.663560987782567,-2.3518423719276513
