order,seasonal_order,AIC,BIC,HQIC
"(1, 0, 0)","(0, 0, 0, 12)",1446.8931,1453.6804,1449.634
"(0, 0, 1)","(0, 0, 0, 12)",2237.3848,2244.163,2240.1223
"(0, 0, 0)","(0, 0, 0, 12)",2533.4297,2536.8233,2534.8002
